Tutorial,Line,Old Filename,New Filename,Description
index.tutorial,7,squash-the-creeps-final.gif,index-01.game-preview-animation.gif,Animated gif showing the complete game in action
index.tutorial,66,fix-me.png,index-02.tutorial-overview.png,Overview image for tutorial contents
01.game_setup.tutorial,20,fix-me.png,01-01.stage-manager-files-app.png,Stage Manager showing Xogot and Files App side-by-side
01.game_setup.tutorial,27,01.import_button.webp,01-02.import-button.png,Project Manager with Folder button highlighted
01.game_setup.tutorial,35,02.browse_to_project_folder.webp,01-03.browse-to-project-folder.png,File browser navigating to project directory
01.game_setup.tutorial,49,04.start_assets.webp,01-04.start-assets.png,File tree showing art and fonts folders
01.game_setup.tutorial,90,05.main_node.webp,01-05a.create-main-node.png,Scene tree with Main node created
01.game_setup.tutorial,80,fix-me.png,01-05.static-body-collision-concept.png,Diagram showing StaticBody3D and CollisionShape3D concept
01.game_setup.tutorial,101,fix-me.png,01-06.save-scene-dialog.png,Save dialog showing main.tscn being saved
01.game_setup.tutorial,112,adding_static_body3D.webp,01-07.adding-static-body3d.png,Scene tree with Ground/StaticBody3D/CollisionShape3D
01.game_setup.tutorial,120,07.collision_shape_warning.webp,01-08.collision-shape-warning.png,Warning icon on CollisionShape3D
01.game_setup.tutorial,132,08.create_box_shape3D.webp,01-09.create-box-shape3d.png,Inspector showing BoxShape3D creation
01.game_setup.tutorial,144,09.box_size.webp,01-10.box-size-settings.png,BoxShape3D size properties 60x2x60
01.game_setup.tutorial,154,10.mesh_instance3d.webp,01-11.mesh-instance3d-node.png,Scene tree with MeshInstance3D added
01.game_setup.tutorial,161,11.box_mesh.webp,01-12.box-mesh-creation.png,Inspector creating BoxMesh resource
01.game_setup.tutorial,167,12.cube_resized.webp,01-13.cube-resized-viewport.png,3D viewport showing resized ground mesh
01.game_setup.tutorial,183,move_gizmo_y_axis.webp,01-14.move-gizmo-y-axis.png,3D manipulator showing Y-axis arrow
01.game_setup.tutorial,196,ground_down1meter.webp,01-15.ground-moved-down-1-meter.png,Ground positioned at -1 on Y-axis
01.game_setup.tutorial,203,create_directional_light3d.webp,01-16.create-directional-light3d.png,Adding DirectionalLight3D node
01.game_setup.tutorial,212,16.turn_on_shadows.webp,01-17.turn-on-shadows.png,Inspector with Shadow checkbox enabled
01.game_setup.tutorial,217,17.project_with_light.webp,01-18.project-with-light.png,Lit 3D scene in viewport
01.game_setup.tutorial,239,fix-me.png,01-19.input-map-concept.png,Input Map system explanation diagram
01.game_setup.tutorial,248,project_settings.webp,01-20.project-settings-menu.png,Opening Project Settings from Menu
01.game_setup.tutorial,261,input_map_tab.webp,01-21.input-map-tab.png,Input Map panel in Settings
01.game_setup.tutorial,269,adding_action.webp,01-22.adding-action.png,Adding new input action
01.game_setup.tutorial,275,actions_list_empty.webp,01-23.actions-list-empty.png,Five actions created but not bound
01.game_setup.tutorial,285,left_inputmap.webp,01-24.bind-left-a-key.png,Binding A key to move_left
01.game_setup.tutorial,290,keyboard_keys.webp,01-25.bind-left-arrow-key.png,Binding Left arrow key
01.game_setup.tutorial,304,joystick_axis_input.webp,01-26.bind-joystick-axis.png,Binding joystick axis 0-
01.game_setup.tutorial,311,move_inputs_mapped.webp,01-27.all-movement-inputs-mapped.png,Complete movement input configuration
01.game_setup.tutorial,320,jump_input_action.webp,01-28.jump-input-action.png,Jump action with Space and gamepad A
01.game_setup.tutorial,347,fix-me.png,01-29.virtual-joystick-concept.png,Virtual Joystick add-on overview
01.game_setup.tutorial,354,fin-asset-library-menu.png,01-30.asset-library-menu.png,Accessing Asset Library from menu
01.game_setup.tutorial,360,fin-asset-library-browser.png,01-31.asset-library-browser.png,Virtual Joystick in Asset Library
01.game_setup.tutorial,371,fin-assets.png,01-32.addons-folder-structure.png,Project with addons/virtual_joystick/
01.game_setup.tutorial,381,fin-rename-ui.png,01-33.rename-canvas-layer-ui.png,CanvasLayer renamed to UI
01.game_setup.tutorial,390,fin-instantiate.png,01-34.instantiate-virtual-joystick.png,Instantiating virtual_joystick_scene
01.game_setup.tutorial,401,fin-joystick-settings.png,01-35.joystick-mode-settings.png,Following mode and When Touched visibility
01.game_setup.tutorial,413,fin-actions.png,01-36.joystick-action-bindings.png,Joystick action properties mapped
01.game_setup.tutorial,423,fin-full-rect.png,01-37.joystick-full-rect-anchors.png,Anchor controls set to Full Rect
01.game_setup.tutorial,445,fix-me.png,01-38.virtual-controller-concept.png,Built-in Virtual Controller explanation
01.game_setup.tutorial,463,fix-me.png,01-39.enable-virtual-controller.png,Enable Controller switch turned on
